address_id,customer_id,line1,line2,city,state,postal_code,country,is_default
1,440,73315 Lawrence Circle Apt. 090,Suite 210,South Cindyberg,VI,11654,USA,True
2,4717,476 Cole Expressway Suite 938,Apt. 050,Fisherberg,RI,58155,USA,False
3,4376,418 William Drives Apt. 776,Suite 809,North George,IL,11719,USA,True
4,3149,9423 Thompson Orchard,Apt. 688,Wilkersonport,IL,22469,USA,False
5,1253,2959 Rivas Mission Suite 442,Suite 926,West Hannahberg,CA,16674,USA,False
6,4532,92511 Maxwell Spring Suite 746,Suite 301,Tammyland,IL,37935,USA,True
7,4428,14458 John Turnpike,Suite 233,Johnnyside,IL,72226,USA,False
8,1169,547 Levy Land Suite 698,Apt. 424,South Matthew,OH,18522,USA,False
9,2574,6525 Nixon Walks,Suite 051,North Carolyn,WI,18764,USA,True
10,1287,7873 Davis Street,Apt. 470,Benjaminhaven,FM,34825,USA,True
11,533,2011 Allen Parkway,Apt. 409,North Johntown,IN,15893,USA,False
12,3405,81898 Todd Island,Suite 780,New Kathleen,MO,28910,USA,False
13,711,6289 Sara Landing Suite 285,Suite 529,Frederickport,AZ,35258,USA,False
14,1645,471 Evans Extension Apt. 304,Suite 925,Lake Kaitlyn,AL,92409,USA,True
15,416,086 Rhonda Lake,Apt. 662,Codystad,GA,15124,USA,False
16,4279,6115 Schmidt Radial,Suite 137,Port Anthony,UT,93534,USA,True
17,1666,1041 Murphy Place,Apt. 608,Lake Brent,CT,46184,USA,True
18,4756,13267 Christopher Port Suite 005,Apt. 097,Michaelberg,UT,54241,USA,True
19,58,960 Jillian Prairie Suite 653,Apt. 309,New Loriville,NH,73254,USA,False
20,2605,335 Gonzalez Mews Apt. 731,Apt. 234,East Holly,NV,45736,USA,False
21,3209,1661 Fowler Well Apt. 179,Suite 737,Ryanview,VA,41611,USA,True
22,2643,08241 Hayes Springs Suite 854,Apt. 605,Emilyfort,VT,89802,USA,True
23,853,7004 Eric Cove,Suite 208,Ryanside,ME,58383,USA,True
24,3594,214 Wilson Harbors Apt. 454,Apt. 352,Stacyview,DE,43614,USA,False
25,3465,220 Hayden Keys,Suite 117,Youngmouth,DE,20025,USA,False
26,3596,682 Taylor Hills,Apt. 505,South Carlostown,WI,92458,USA,True
27,365,188 Joshua Prairie,Suite 112,West Patrick,WY,53271,USA,True
28,4738,599 Andrew Extensions Apt. 240,Apt. 569,East Amanda,ND,61508,USA,True
29,4697,66032 Ashley Spurs Apt. 660,Apt. 966,Port Kenneth,MS,10569,USA,True
30,1192,6859 Daniels Path Apt. 523,Apt. 684,Josechester,FL,15910,USA,True
31,3861,36563 Ellis Hill,Apt. 463,North Paul,WV,30449,USA,True
32,3864,5397 Zamora Station Apt. 244,Suite 533,Staceyville,SD,51786,USA,True
33,427,0072 John Inlet Apt. 416,Apt. 238,Walkerborough,MN,24849,USA,False
34,2136,853 Ronald Station,Suite 635,South Timothyville,DE,72349,USA,False
35,4192,8207 Washington Drive Suite 233,Apt. 288,South Adam,TX,48479,USA,False
36,3441,44554 Crosby Rapid Suite 801,Apt. 023,Port Joseph,PA,88353,USA,True
37,2270,807 Laura Orchard Suite 352,Suite 181,Hendersonburgh,FL,70134,USA,True
38,2217,113 Williams Park Apt. 476,Apt. 009,Port Traci,PW,55234,USA,True
39,2479,065 Wiley Islands Apt. 885,Suite 770,New Jessicafurt,NE,00953,USA,False
40,3488,3748 Preston Pass,Apt. 526,Grantbury,PR,14138,USA,False
41,3364,27448 Nicole Crossing Apt. 036,Suite 305,Summerston,PA,30798,USA,True
42,4144,369 Lauren Fort,Suite 339,New Gregory,CO,13106,USA,True
43,2729,862 Tara Creek,Suite 580,Brianview,DE,66644,USA,True
44,2538,4429 Smith Trail Suite 207,Apt. 881,Jeffreyfort,WI,77611,USA,False
45,4459,73924 Jeff Loaf,Suite 169,Lake John,VI,17928,USA,False
46,4533,98427 Kaiser Estates Apt. 214,Apt. 554,Lake Raymond,MP,21000,USA,True
47,2605,495 Tonya Trafficway Apt. 037,Suite 431,Murphytown,ND,72841,USA,True
48,4442,7368 Timothy Shoal Suite 417,Suite 288,Kellyside,FL,52283,USA,True
49,410,217 Roberts Trace,Apt. 738,North Dustin,PA,67235,USA,True
50,2029,3633 French Courts Suite 300,Suite 700,South Lorimouth,PA,83824,USA,True
51,4947,438 Mendoza Hollow,Suite 934,Garyfort,AL,83267,USA,False
52,476,2578 Russell Cape,Apt. 327,Wyattport,MA,58724,USA,True
53,158,164 Jeffery Creek,Apt. 247,West Leslie,DE,91915,USA,False
54,1651,289 Berg Rue Suite 670,Suite 291,Port Martha,RI,60086,USA,True
55,183,896 Edward Ford,Suite 925,South Gina,CA,59669,USA,False
56,813,681 Kristen Crossroad,Apt. 261,New Kelly,AR,84115,USA,False
57,204,577 John Cliff Apt. 651,Suite 091,Copelandhaven,KY,36245,USA,True
58,1089,28940 Ortega Meadows,Suite 647,Sarahberg,OH,62209,USA,False
59,1290,4515 Danielle Fields,Suite 002,Amychester,WI,67228,USA,True
60,2946,709 Keith Locks Suite 627,Suite 029,New Cole,IN,08153,USA,True
61,843,157 Paul Rapids,Suite 179,East Carolynfurt,MT,14938,USA,True
62,1045,272 Linda Islands Suite 597,Apt. 250,West Leonard,IL,38542,USA,True
63,3148,9766 Tyler Hill,Apt. 830,Stephanieville,NJ,47494,USA,True
64,3271,421 David Lodge Suite 150,Apt. 226,Port Joshuashire,CA,91603,USA,True
65,2104,84953 Kim Wells Suite 467,Apt. 964,New Walterbury,MA,62147,USA,False
66,4826,21842 Gary Mission,Apt. 650,Shannonmouth,MP,47891,USA,True
67,328,533 Beth Unions,Suite 142,North Fernandoland,TX,17913,USA,True
68,2378,37661 Maldonado Glen,Apt. 101,Scottville,ME,86913,USA,True
69,1918,108 Hunter Mews Apt. 138,Suite 236,Oliverborough,DC,38452,USA,True
70,4275,7353 Lindsey Fields,Suite 232,West Gregory,FM,56858,USA,True
71,312,8342 Turner Causeway Suite 064,Apt. 136,Port Laurenborough,NY,57612,USA,True
72,978,22097 Ebony Islands Suite 560,Apt. 233,East Gregory,MI,03463,USA,True
73,4095,6130 Daniels Trail Suite 051,Suite 768,East Stephanie,PA,34305,USA,False
74,1522,429 Wilkerson Stravenue Suite 293,Apt. 451,New Douglasborough,WA,41155,USA,True
75,1083,233 Juan Road Suite 732,Suite 707,Wrightstad,NE,56548,USA,True
76,2379,265 Elizabeth Union Suite 679,Apt. 384,Dawsonshire,LA,89766,USA,False
77,10,893 Elizabeth Green,Suite 412,Gonzalezchester,MN,36418,USA,False
78,3458,595 Cohen Alley Apt. 324,Apt. 934,North Anthony,IN,60361,USA,True
79,1122,6044 Washington Parks,Suite 035,Port Coleburgh,NE,64359,USA,True
80,2107,09435 Kevin Dale,Apt. 354,Courtneyside,WV,88845,USA,True
81,3656,3999 Brian Glen,Apt. 192,Lake Thomas,NV,33481,USA,True
82,2496,8594 Erin Centers,Apt. 393,Johnbury,KS,08673,USA,True
83,3143,45336 Melissa Fork Suite 276,Apt. 796,Huberside,UT,14450,USA,True
84,3421,7118 Morgan Junction Apt. 355,Apt. 451,Amberborough,MH,06285,USA,True
85,2196,0405 Michele Plains,Apt. 403,South Josephport,WI,23759,USA,False
86,4343,371 Michele Fall,Suite 575,Jessicaburgh,MH,45707,USA,False
