customer_id,first_name,last_name,email,phone,date_joined
1,James,Bailey,amy31@example.net,485.843.0844,2021-09-22 06:30:28.643724
2,Pamela,Wolfe,monica65@example.org,513-771-3798x1196,2022-05-13 22:51:11.569079
3,Michael,Harrison,tvega@example.org,(603)336-3413,2025-04-04 05:44:15.508021
4,Pamela,Garcia,cbernard@example.com,301.330.2146x907,2021-10-12 09:46:30.277118
5,April,Garcia,kylebrown@example.net,480-550-3146x200,2020-03-31 12:22:31.581207
6,Gary,Arellano,rmccullough@example.net,6307410973,2020-06-28 16:09:17.348591
7,Jeffrey,Smith,datkins@example.com,8994081687,2022-06-22 00:50:21.675835
8,Aaron,Brown,andrea89@example.org,(998)723-1918x6544,2022-08-03 22:31:38.337783
9,Peter,Washington,gcampbell@example.com,001-506-288-5979,2020-08-12 11:30:30.604640
10,Samantha,Williams,williamhill@example.com,208-928-2159x21519,2023-01-11 15:09:52.597306
11,Brandon,Watkins,josephgray@example.net,+1-761-836-0053,2024-09-17 07:45:00.340183
12,William,Wood,billygallegos@example.org,474-540-1090,2021-11-17 06:40:25.764728
13,Tammy,Terry,derekpark@example.org,001-723-381-1928x097,2021-01-17 09:29:03.359529
14,Gabriela,Johnson,blairmanuel@example.com,962.281.4729x62239,2023-01-12 00:54:46.762229
15,Reginald,Griffin,dgood@example.com,871-904-0374x023,2024-11-18 11:21:39.248422
16,Kimberly,Jackson,mitchellchristine@example.net,(921)446-4227,2023-12-23 23:21:15.579925
17,Stephanie,Rivera,stacy80@example.com,(284)550-6323,2024-11-26 18:01:06.135881
18,Erin,Miller,anthony83@example.com,2899485359,2022-09-05 13:36:17.281253
19,Ashley,Ellison,joseph97@example.net,+1-667-412-8069x766,2022-06-11 00:56:51.072412
20,Matthew,Taylor,gomezjennifer@example.org,+1-685-350-6964x21589,2025-05-11 10:15:32.741244
21,Lauren,Hurst,william84@example.net,+1-826-550-4408x915,2024-06-19 16:34:05.875757
22,Nathan,Ward,lisavalentine@example.net,001-359-470-6689x69133,2020-11-22 01:13:04.368533
23,Lisa,Duffy,taylorkarla@example.org,443.555.2921x54772,2023-11-06 18:51:49.616706
24,William,Le,julie46@example.org,001-694-763-9451x7417,2020-04-19 06:15:04.981023
25,Jennifer,Ramirez,jrobinson@example.net,501.365.2138x3582,2022-06-28 10:42:24.814319
26,Nicholas,Hardin,jessica35@example.com,001-547-769-0533x8724,2021-07-17 01:10:47.175069
27,Edward,Richmond,bonnie49@example.net,6273005830,2022-05-11 06:18:08.501054
28,Connie,Roberts,imcdonald@example.net,+1-760-930-6843,2023-10-17 03:58:05.219267
29,Sandra,Ruiz,colemancharles@example.org,(346)555-1366x7745,2020-04-22 09:52:27.847363
30,Charles,Hill,martin40@example.net,(962)501-9565,2025-04-17 09:36:32.431721
31,Stephanie,Larson,nicholsonjennifer@example.org,881.955.8070,2024-01-23 23:07:34.459261
32,William,Mayer,michaelconner@example.org,359.391.1924x62616,2025-04-14 01:20:57.211258
33,Julie,Moore,gabrielahuff@example.org,374.675.1888x29534,2023-03-17 23:52:35.431037
34,Heidi,Scott,fmarshall@example.net,6786778963,2025-02-09 07:40:42.362830
35,Bradley,Taylor,jeremy46@example.org,+1-778-707-8609,2022-06-10 06:28:55.360732
36,Nicole,Turner,amanda60@example.org,428-982-5484,2020-02-27 06:28:32.787933
37,Maureen,Shields,justin08@example.net,(597)344-8353x83862,2020-11-05 13:25:32.425115
38,Angela,Phillips,nicolegibson@example.net,549-319-9332x359,2022-10-03 15:03:00.729089
39,Sergio,Howard,blewis@example.net,001-914-504-8452x992,2020-10-24 13:52:21.734853
40,Donald,Gilbert,wramirez@example.com,(744)412-3183,2020-07-07 11:40:04.792823
